original_index,Individual,Phase,Round,Puzzler,Cohort,Team_ID,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined,EDA_tonic_power,EDA_phasic_power,EDA_phasic_tonic_ratio,EDA_rolling_slope,EDA_phasic_rolling_slope,EDA_first_half_mean,EDA_second_half_mean,EDA_half_diff,EDA_phasic_peak_count_raw,HR_rolling_slope,HR_first_half_mean,HR_second_half_mean,HR_half_diff,HR_diff_rmssd_proxy,HR_HF_power,HR_LF_HF_ratio,TEMP_rolling_slope,TEMP_half_diff,TEMP_initial_slope,TEMP_overall_slope
10,1,phase2,round_1,1,D1_4,D1_4_Team10,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.848926411828573e-06,2.273996441563299e-06,0.3887886906842397,0.0020955223527820465,-0.0002561177474852422,0.12570880754107472,0.13163583087291422,0.005927023331839504,8,-2.4602499999999976,77.40025157232704,70.52232704402515,-6.8779245283018895,0.20132839598127023,0.0005009251230405568,22.26375721410437,0.05316666666666845,0.1061973951369275,0.0007601260438549232,0.0001938901714894851
11,1,phase1,round_1,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,4.605160986749006e-06,6.029150872171471e-07,0.13092160924492946,-0.0024294230293580702,-0.00021509347382626053,0.12326729591706771,0.1159328438477024,-0.00733445206936531,7,0.14098333333333446,83.50450331125828,80.1121052631579,-3.3923980481003753,0.4413765343027567,0.002651981802276231,29.78808960590581,-0.045225000000000556,-0.12481292811931155,0.0004901647598048185,-0.00018398786948451985
12,2,phase3,round_3,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,0.0031643327343806186,0.0005614243732278661,0.17742267338954745,-0.04653183944555771,-0.005495171568376008,1.8212295525749902,1.821922205694285,0.0006926531192947838,9,0.060166666666658576,72.96121621621622,72.54797297297297,-0.4132432432432438,0.13934349704773286,0.0009064023373311023,29.013979031161295,-0.02341666666666926,-0.0864094047673234,-0.00020315456865576233,-0.00015525555012608689
13,2,phase2,round_3,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,0.005743645408334209,0.0008057724322307616,0.14028937633607405,-0.0006404565438992722,-0.0028552057115313243,1.4514127189931765,1.4056710931953769,-0.04574162579779961,11,-2.244533333333335,81.99230769230769,73.20802547770701,-8.78428221460068,0.3186665929084778,0.0031107419551224674,19.17014718793226,-0.05190000000000165,-0.14215138658146742,-0.00011486310526231686,-0.00020036524390710018
14,2,phase1,round_3,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0008454920744573022,5.2492656419196923e-05,0.06208533232306228,-0.2468734527149344,-0.006512242471701265,1.8356863909849448,1.3159870795310882,-0.5196993114538566,3,-3.2688833333333487,64.52215384615386,59.55384615384615,-4.968307692307704,0.2176684099255945,0.0009574115478474521,14.7088535888429,-0.02280000000000661,-0.05599283921452525,5.295230820000452e-06,-0.00010213953436915002
15,2,phase3,round_2,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0042573627304626094,0.00016777852222511663,0.03940902686647178,-0.5181403243564452,-0.008363932804867908,3.7352542647952522,2.395212779720165,-1.340041485075087,3,-2.9022000000000006,68.27052631578948,61.31690789473684,-6.953618421052639,0.12168101999516073,0.0002554533199770697,45.41897958398821,-0.043774999999995484,-0.11162912669604452,-4.117258980192081e-05,-0.00018191095318271044
16,2,phase2,round_2,0,D1_4,D1_4_Team10,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,0.015208650721771744,0.0023886713231601533,0.15706004213382863,-0.0886724658206435,-0.011314003824724438,5.3086057135065206,4.919757351860279,-0.38884836164624126,13,0.5934666666666674,73.06622641509433,75.4756875,2.409461084905672,0.14191081440567876,9.704401520157389e-05,58.34249889027818,-0.07405000000000077,-0.20283721135590582,-0.0001514088786264673,-0.0003183816434198468
17,2,phase1,round_2,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,0.01657788926786487,0.002357391651842246,0.1422009529531538,0.4719484167951607,-0.003829581236490259,3.0754253390874564,4.258228275841476,1.1828029367540194,12,-15.676,99.93730263157896,62.94934640522876,-36.9879562263502,0.5689409020276184,0.002003518992258018,44.699142878666386,-0.015649999999996774,-0.043712189957645364,7.000121529880993e-05,-6.501614092466121e-05
18,2,phase3,round_4,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002669387846658262,7.215878531492281e-05,0.02703195993240793,-0.396894016238649,-0.006981627461766129,2.5467615406068336,1.5323582867214933,-1.0144032538853403,2,-0.1744999999999962,63.74207792207791,62.87522580645161,-0.8668521156263012,0.13188936725454864,0.000205759994321151,55.8263083114475,-0.01584583333333718,-0.040684350409087244,-2.9848608482860967e-05,-6.514110876425495e-05
19,2,phase2,round_4,0,D1_4,D1_4_Team10,7.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,5.0,0.019410008710348536,0.0032364920393782013,0.1667434614623666,0.3853024690982618,-0.0035739860868124096,2.154098796380646,3.2988952220441545,1.1447964256635084,17,4.086049999999996,65.55375796178343,77.14305732484075,11.589299363057322,0.2161173506805405,0.00028371875937236655,122.8630198027224,-0.042045833333334004,-0.10458778105837041,-7.860379520482696e-05,-0.00016940648272706124
20,2,phase1,round_4,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.001263672858234429,9.016461680499213e-05,0.07135123320680306,-0.1902885811001722,-0.004405070586718517,2.1075010704929587,1.598664850290927,-0.5088362202020316,2,0.22721666666666562,67.44000000000001,66.75559210526316,-0.6844078947368502,0.1053283409436442,0.00011307197910428971,60.350561816906314,-0.007033333333330338,-0.01927750410509077,8.619941318419276e-05,-3.035219362279748e-05
21,2,phase3,round_1,0,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,0.0037214819758360452,0.0004957659621665997,0.1332173487297957,-0.0682230831465783,-0.0039505612371379655,1.8109695224351858,1.5879810729712331,-0.2229884494639527,7,-17.20973333333333,104.41477124183007,67.51344155844156,-36.90132968338851,0.7321637286087015,0.002386639337935499,21.17089295045133,-0.06609999999999984,-0.16773115118773063,4.694525946628026e-05,-0.0002729076579003561
22,2,phase2,round_1,0,D1_4,D1_4_Team10,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,0.0017440192877730618,0.0001683270109630874,0.09651671408865217,0.21659052284033717,-0.0005894623918625497,0.5655221284884387,1.2131433501367828,0.647621221648344,13,-1.9821000000000022,72.16647798742139,68.68256249999999,-3.483915487421399,0.22071424936830406,0.0004580047888420374,17.39480415477484,-0.02539999999999899,-0.07686028257456456,0.0005922325040364922,-8.667169568898156e-05
23,2,phase1,round_1,0,D1_4,D1_4_Team10,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,6.18838277778775e-05,1.2256642835482606e-05,0.19805889964460416,-0.0217703096061977,-0.0009086365750194895,0.4882642329907259,0.42429499422454625,-0.06396923876617966,5,2.4905666666666644,63.91263157894736,71.38631578947368,7.473684210526322,0.15091251591152366,0.0004297805207575441,37.66890461149133,-0.018566666666666492,-0.04328947368421865,-5.257035712426232e-05,-8.024931619042448e-05
24,3,phase3,round_3,1,D1_4,D1_4_Team11,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,0.0062486006374214195,0.0017384033665773144,0.2782068286083799,-0.054517542111598004,-0.002640081453597326,1.3725408402145132,1.106637167933339,-0.26590367228117406,17,-5.651783333333354,100.09986301369864,98.1822448979592,-1.9176181157394439,0.49994965499962746,0.0012773130294467837,33.28387138504175,0.0009583333333266342,0.0666780238500877,-0.002110974148856833,4.3470677877730865e-05
25,3,phase2,round_3,1,D1_4,D1_4_Team11,2.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,0.0015760190722369258,0.00024710496816693594,0.15679059506317206,-0.08163920214885487,-0.0011703963869765244,0.8612849410894802,0.6285601616719438,-0.23272477941753633,13,5.07986666666666,79.5367515923567,96.32575949367089,16.789007901314193,0.4623096957420102,0.0015298779281076565,20.854324560131293,-0.07560833333332871,-0.21231746031745757,0.0014392958211080131,-0.00031509456073215225
26,3,phase1,round_3,1,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,0.00032497770502246576,6.737609550694271e-05,0.20732528559854588,-0.04777631395630254,-0.0021118292885580056,0.6194526098024847,0.5039211582819507,-0.11553145152053401,7,7.543683333333318,76.71561538461538,95.34815384615385,18.632538461538473,0.3308564993558736,0.0014760715660576682,21.46964146668783,-0.03335000000001108,-0.023673076923081737,-0.0014161877810379884,-0.00013419207971787758
27,3,phase3,round_2,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,0.0010880688438407115,4.4694694400094645e-05,0.041077083176400325,-0.1625073722618353,-0.0026529293042949213,0.9151168421445118,0.5327720396158552,-0.38234480252865666,4,-1.7530999999999937,94.03245033112582,90.86901315789474,-3.163437173231074,0.24283643965402113,0.0017727894470354775,30.149413702586244,0.046570833333335004,0.15642877014973777,-0.0022114620045487468,0.0001981919684348711
28,3,phase2,round_2,1,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,0.0045139507898420425,0.001090836156492417,0.24165884992525338,0.08418563728867447,-0.0017153552452789868,1.0189524859944978,1.2495705891430615,0.23061810314856368,17,4.543799999999999,67.11749999999999,81.44534161490684,14.327841614906845,0.31674269920552234,0.0005399537988787427,39.09662320441825,-0.08658333333333,-0.2650107163165032,0.0006900119793745908,-0.0003641252081417446
29,3,phase1,round_2,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.003229693983638311,0.0006149415228365636,0.19040241148290477,-0.022467425030418903,-0.0010099060521940343,0.7859056874075192,0.6890804812551458,-0.09682520615237344,13,-3.5537833333333357,126.12611842105262,117.79907894736841,-8.32703947368421,0.49790584554020095,0.0017416853464144334,29.630728378487927,0.05733333333333373,0.013249750715345954,0.0027870188718553375,0.0002298739767687945
30,3,phase3,round_4,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,0.001420967539973348,0.00027351200864042497,0.19248293922713747,-0.17875685052585427,-0.002244546711945039,0.9921040819484478,0.5198919695086732,-0.47221211243977457,9,0.21896666666667314,86.7072077922078,86.39309677419355,-0.3141110180142448,0.26489399987321566,0.0009451260482378382,22.2059477430996,-0.16871666666666663,-0.4137641357027455,-0.0028432090834910914,-0.0006884217326514589
31,3,phase2,round_4,1,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,0.0035352020762135683,0.001644907963751685,0.4652939006851593,0.1947103996342184,-0.0005228193243500314,0.6861816718504626,1.1760439606187685,0.48986228876830584,13,-1.1116333333333215,71.96435064935064,70.25529032258065,-1.7090603267699862,0.24798407992470786,0.00044217249420270405,40.13172939793809,-0.052054166666663945,-0.14210355987054868,0.0006152884598690484,-0.00021962346535329172
32,3,phase1,round_4,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,0.0010546050277565212,0.00011820813174668533,0.11208758600189064,-0.14185938994763855,-0.001650494276501763,0.8783602047888408,0.5159616798313712,-0.3623985249574696,5,-4.2024666666666635,87.99730263157895,73.82803921568627,-14.169263415892672,0.29980969841410715,0.0013670141604534831,16.9326703628653,-0.07464999999999818,-0.18288052373159047,-0.0015103821246897034,-0.0003071650102842671
33,3,phase3,round_1,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,0.011050570490188639,0.0016316429680717848,0.1476523741032606,-0.0889026646242736,-0.0033896688381894998,1.671216011719845,1.3637803997331748,-0.30743561198667013,12,-4.143366666666662,99.91513157894737,87.92908496732026,-11.986046611627103,0.2656589374604805,0.0006841742641997794,50.8352255668225,-0.12926666666666392,-0.42791803278688434,0.0014705550443583238,-0.0005262232863061658
34,3,phase2,round_1,1,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0,0.004714573743382175,0.0020981806294031323,0.44504142762605814,0.07965146181981524,-0.003008380354077045,1.6265430575425475,1.8313322236654945,0.20478916612294706,24,-4.598766666666674,109.42867924528304,97.06578616352203,-12.362893081761001,0.2796646256485019,0.0007127072726207376,18.8227065760479,0.03119999999999982,0.07421383647798763,0.0006355665896976678,0.0001340574292247731
35,3,phase1,round_1,1,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.005712334106576992,0.0011343418413421776,0.19857764272508746,0.0475434580015095,-0.0025182508043848496,1.2237435830261418,1.4369070742500722,0.2131634912239304,16,4.69761666666666,73.70236842105264,82.62927631578948,8.926907894736843,0.3476104188604392,0.000724814711037705,46.22837819117565,0.18993333333333556,0.4722495894909642,0.0005788989392176484,0.0007864286068422075
36,4,phase3,round_3,0,D1_4,D1_4_Team11,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,0.016124753247850777,0.002179470997280764,0.13516306040659937,-0.6706097786357744,-0.01570612771954159,6.103116384327804,4.442119078023333,-1.6609973063044716,7,-0.5761166666666874,77.87496598639456,77.03378378378379,-0.8411822026107671,0.32871115041653715,0.00021664648334342862,80.72953590532782,0.016958333333329308,0.03080210641419967,0.00033074792965148177,7.316259337694896e-05
37,4,phase2,round_3,0,D1_4,D1_4_Team11,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,0.05564878714836484,0.02046147200859517,0.36768945123714886,1.002482325372246,-0.0032989908204200226,2.0556117621239918,4.946397508516925,2.890785746392933,19,-2.905516666666659,81.94993710691824,75.00125786163521,-6.9486792452830315,0.27920741812205646,0.00021212248879113945,35.76201328711965,-0.009083333333332813,0.002022896241221872,-0.00019984287921667873,-2.6206116452849807e-05
38,4,phase1,round_3,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0,0.000846682797313844,5.31312660508126e-05,0.06275226828674799,-0.16690221138935954,-0.0074298855915539905,2.424658138489412,2.058801143550093,-0.3658569949393189,3,1.1169833333333075,78.44492307692308,80.34538461538462,1.900461538461542,0.14290829200147873,0.0003662603509901348,31.02620456891873,0.02055833333333005,0.04376923076923589,0.00010271011649505003,9.326362741999692e-05
39,4,phase3,round_2,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,0.004434202104964734,0.00018618607391221822,0.041988630537105165,-0.39829816656708045,-0.008965836181301288,3.8072588168709025,2.808977292555543,-0.9982815243153595,3,-0.008133333333337898,74.28602649006623,74.71298013245033,0.42695364238409184,0.09882532662594255,0.0002297272193236726,68.70512377605793,0.016350000000000878,0.037542553773747045,0.0002823486518862449,6.590288777468647e-05
40,4,phase2,round_2,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,5.0,3.0,0.024110940550059884,0.0032548376504818524,0.13499422155365765,0.2843288039878608,-0.003182073167040436,2.257412672867661,3.3236662640385175,1.0662535911708564,15,-0.6934999999999998,83.04105590062112,81.79185185185185,-1.249204048769272,0.13943430519724517,0.0001828978505867965,106.20211792938359,0.03236250000000508,0.0978134254925962,0.00024495650966155293,0.00010645898411435166
41,4,phase1,round_2,0,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0,0.0011066274069924486,5.267862324832977e-05,0.047602854326098606,-0.2654939453598748,-0.005706326707960782,2.918464071474447,2.227605627313278,-0.6908584441611691,3,-1.7725333333333313,79.7433552631579,75.50355263157896,-4.239802631578939,0.14047068449082217,0.00025162152993478686,46.26953498882276,0.08388333333333844,0.215934438134056,0.0003330092536328189,0.0003495732990570673
42,4,phase3,round_4,0,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,0.04136172905794329,0.004566560549410955,0.1104054558022393,-1.151040626572315,-0.02209057375407796,12.008684023511627,8.760606524161028,-3.2480774993505985,6,-1.5285000000000024,81.84738562091503,77.65474025974027,-4.192645361174769,0.10914103126634962,0.0005075653270345707,44.988266954851326,-0.006541666666667476,-0.01585644371940731,7.543533741817712e-06,-1.6404348247567584e-05
43,4,phase2,round_4,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,0.1285536927983413,0.03667970264286647,0.2853259353693163,1.548838368152216,-0.010567987942370101,5.402243442574008,9.168214667194052,3.765971224620044,25,2.4871333333333365,71.41890322580646,80.78057692307692,9.361673697270462,0.21070465493885798,0.0004187190282182259,80.60320557206957,0.02284583333333541,0.05373996789727897,-6.534835674234522e-05,0.00010695235565300522
44,4,phase1,round_4,0,D1_4,D1_4_Team11,0.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,0.0070523052469236925,0.0019758658771532787,0.28017305093468226,0.14653099516472068,-0.005502276450474151,3.283487353687645,3.5359554143393184,0.2524680606516734,8,1.709000000000009,77.32601307189543,80.93588235294116,3.6098692810457322,0.17368900037843205,0.0003821615550501986,72.87398781904737,0.07428333333333591,0.19453355155483365,0.00017819753815162526,0.0003043212448059457
45,4,phase3,round_1,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,0.03536437825402499,0.005378624810511208,0.1520915982708968,0.21861306953054613,-0.0065532316071036925,3.6766096859598023,4.453797012154671,0.7771873261948685,11,-4.440116666666661,78.60509933774834,67.66684210526316,-10.938257232485185,0.16614642867539878,0.00040961274971391834,24.976656447904865,-0.020808333333332478,-0.050492824937130365,0.0001756974947480954,-9.074456765500354e-05
46,4,phase2,round_1,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,0.00927758667301413,0.0008497783623871113,0.09159476406282205,0.5508156608326046,-0.00012329947438055795,0.6432224559527445,2.1943618147462782,1.5511393587935336,12,-0.3412499999999919,79.26220125786163,79.5255625,0.2633612421383731,0.13753101422666034,0.0005791362587143273,36.67462015204049,-0.049683333333334745,-0.13230769230770534,-0.0001928332089099945,-0.00020575097402549423
47,4,phase1,round_1,0,D1_4,D1_4_Team11,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,4.413012541084497e-05,3.893274641913331e-06,0.08822260543489323,-0.047296448064336895,-0.0011427245170063049,0.5523543342953762,0.431056858850795,-0.1212974754445812,2,1.2750166666666705,75.47046052631579,79.26532894736842,3.7948684210526267,0.0934628992239871,0.0002579314113595561,25.30358807400127,0.056249999999997406,0.14381578947367757,4.2188232434506866e-05,0.0002361378735191616
48,5,phase3,round_3,0,D1_6,D1_6_Team13,0.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,0.06892194480702067,0.03571815519219494,0.5182406748997679,0.26747523991342187,-0.013719961252429538,7.805288099586657,8.54609337588456,0.7408052762979027,11,-1.5637833333333306,69.23428571428573,65.49805194805194,-3.736233766233795,0.1055048357105313,7.862402740567877e-05,83.8895569752458,-0.0489750000000015,-0.13578281068525655,0.0002854042604905754,-0.00021270450537751675
49,5,phase2,round_3,0,D1_6,D1_6_Team13,4.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,0.06541399779807514,0.02607241814342395,0.3985755193239566,0.3369067241099472,-0.011929126690410255,5.946896808207833,7.027954345230911,1.081057537023078,18,5.635166666666672,75.83577922077923,90.50012987012987,14.664350649350638,0.19111024837990928,0.000572129141341576,46.027978018196684,-0.02903750000000278,-0.08129659643435616,-0.00013724196600640271,-0.00011845854305901045
50,5,phase1,round_3,0,D1_6,D1_6_Team13,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,0.03294835611961599,0.02336674820771347,0.7091931422278742,0.012462721380447198,-0.007584262670051365,5.344262391864945,5.409734185757866,0.06547179389292168,10,1.6543333333333308,67.84317880794701,70.47881578947369,2.635636981526673,0.19389865585331392,0.0007407087859933055,57.50624931958706,0.15770833333333062,0.40691419141913343,0.0006531927637631668,0.0006474254205942598
51,5,phase3,round_2,0,D1_6,D1_6_Team13,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,0.022706520932995144,0.011540710131733061,0.5082553230320328,-0.1019485621136905,-0.01487459199023105,7.960130026006918,7.6189510172061885,-0.3411790088007294,11,-6.665733333333328,75.69064935064935,61.364415584415575,-14.326233766233777,0.35076881591011433,0.0003755122060946863,49.97742152449289,-0.023849999999998893,-0.08585365853658544,0.0003019496866264869,-6.0354616550343134e-05
52,5,phase2,round_2,0,D1_6,D1_6_Team13,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,0.04225038694172063,0.030097057056277313,0.7123498560567649,0.45041488677953007,-0.011193803464778239,6.894855603597437,7.939282181934307,1.0444265783368705,13,-5.28575,90.95333333333333,70.45116883116884,-20.50216450216449,0.4045682763095475,0.0009066047513498463,91.93693918250716,0.03803333333333233,0.10918827149014021,0.0007509852601607854,0.00015368730299095053
